08:32:59 INFO    Fournisseur IA: gemini
08:33:00 INFO    Phase 2 — génération fiches: 10 documents sans fiche
08:33:00 INFO    [fiche] [1076] Titre IIII [Licence 3 - Semestre 5] [gemini] …
08:33:04 INFO    AFC is enabled with max remote calls: 10.
08:33:16 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 200 OK"
08:33:16 WARNING [validate_section] rejetee — titre generique: ''
08:33:16 WARNING [validate_section] rejetee — titre generique: ''
08:33:16 WARNING [validate_section] rejetee — titre generique: ''
08:33:16 WARNING [generer_fiche] chunk 1/12: 0 sections valides sur 3 — regeneration
08:33:16 INFO    AFC is enabled with max remote calls: 10.
08:33:29 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 200 OK"
08:33:29 INFO    AFC is enabled with max remote calls: 10.
08:33:39 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 200 OK"
08:33:40 INFO    AFC is enabled with max remote calls: 10.
08:33:54 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 200 OK"
08:33:54 INFO    AFC is enabled with max remote calls: 10.
08:34:08 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 200 OK"
08:34:08 INFO    AFC is enabled with max remote calls: 10.
08:34:09 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 429 Too Many Requests"
08:34:09 WARNING Gemini 429 (attempt 1/3) — retry in 30s
08:34:39 INFO    AFC is enabled with max remote calls: 10.
08:34:40 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 429 Too Many Requests"
08:34:40 WARNING Gemini 429 (attempt 2/3) — retry in 60s
08:35:40 INFO    AFC is enabled with max remote calls: 10.
08:35:41 INFO    HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash:generateContent "HTTP/1.1 429 Too Many Requests"
08:35:41 WARNING Gemini 429 (attempt 3/3) — retry in 90s
