id,titre,matiere,score,nb_flashcards,nb_fiches,raisons
16,Test Upload,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
17,Compo laïcité Elno,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
22,Note DF Elno,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
23,Note Opérationnelle Gabriel Faudou 4A-CA 29.11,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
46,CE 1903 Terrier,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
47,CE 1968 Semoules,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
48,CE 1989 Nicolo,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
49,TC 1873 Blanco,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
202,QCM-2 économie,Économie et finances publiques,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
224,B. Manin - Principes gvt représentatif,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
238,LEMAIRE,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
259,Etat,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
266,Nation,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
295,Mngmt S4,Questions sociales,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
301,Mngt S3,Questions sociales,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
462,B. Manin - Principes gvt représentatif,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
471,LEMAIRE,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
480,Etat,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
485,Nation,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
486,République,Questions contemporaines,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
487,Compo laïcité Elno,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
492,Note DF Elno,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
493,Note Opérationnelle Gabriel Faudou 4A-CA 29.11,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
516,CE 1903 Terrier,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
517,CE 1968 Semoules,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
518,CE 1989 Nicolo,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
519,TC 1873 Blanco,Droit public,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
702,QCM DAF recap,Licence 2 - Semestre 3,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
715,Actu Covid19,Licence 2 - Semestre 3,18,0,0,"contenu vide/court (<200 chars), aucune fiche, aucune flashcard"
